command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +4-1,Bruce,TEXT,1597933183168,,1597933185705
lastname,Autofill,Wayne,TEXT,1597933185712,,1597933185715
address,Autofill,1007 Mountain Drive,TEXT,1597933185727,,1597933185731
country,Autofill,USA,SELECT,1597933185742,,1597933185751
pin,Autofill,07001,TEXT,1597933185764,,1597933185769
email,Autofill,batbruce@rich.com,TEXT,1597933185779,,1597933185785
phone,Autofill,12233447890,TEXT,1597933185794,,1597933185797
city,Autofill,Gotham,TEXT,1597933185809,,1597933185813
state,Autofill,New York,TEXT,1597933185824,,1597933185829
profession,Mouse Click,CEO,SELECT,1597933186679,,1597933189324
landmark,Keyboard +2-0,Hospital,TEXT,1597933189338,,1597933192470
gender,Mouse Click,male,RADIO,1597933192484,,1597933195008
vehicle,Mouse Click,bike,CHECKBOX,1597933195014,,1597933196771
range,Mouse Click,38,RANGE,1597933196780,,1597933200625
description,Keyboard +7-1,Batman,TEXTAREA,1597933200635,,1597933204236
save,Mouse Click,,SUBMIT,1597933205010,,1597933205072
