command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597759296183,1597759299783,1597759299794
lastname,Autofill,Drew,TEXT,1597759296183,1597759299783,1597759299796
address,Autofill,"69, Seeawl Lane",TEXT,1597759296183,1597759299783,1597759299798
country,Autofill,USA,SELECT,1597759296183,1597759299783,1597759299801
pin,Autofill,07101,TEXT,1597759296183,1597759299783,1597759299807
email,Autofill,nancy.drew@sleuth.com,TEXT,1597759296183,1597759299783,1597759299810
phone,Autofill,1286659805,TEXT,1597759296183,1597759299783,1597759299812
city,Autofill,River Heights,TEXT,1597759296183,1597759299783,1597759299816
state,Autofill,,TEXT,1597759296183,1597759299783,1597759299819
profession detective,True,detective,SELECT,1597759302516,1597759305065,1597759305082
landmark police station,True,police station,TEXT,1597759306008,1597759308561,1597759308568
state Florida,True,Florida,TEXT,1597759309524,1597759311852,1597759311861
gender female,True,female,RADIO,1597759312569,1597759315019,1597759315033
bacon boat,False,,,1597759315787,1597759318124,
vehicle boat,True,boat,CHECKBOX,1597759319049,1597759321814,1597759321830
825,False,,,1597759323461,1597759326039,
age 25,True,25,RANGE,1597759327061,1597759329801,1597759329809
description test,True,test,TEXTAREA,1597759330531,1597759332954,1597759332963
save,True,,,1597759334187,1597759336016,1597759336023
