command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597407797987,1597407801062,1597407801078
lastname,Autofill,Potter,TEXT,1597407797987,1597407801062,1597407801086
address,Autofill,"4, Privet Drive",TEXT,1597407797987,1597407801062,1597407801093
country,Autofill,United Kingdom,SELECT,1597407797987,1597407801062,1597407801096
pin,Autofill,RG12 9FG,TEXT,1597407797987,1597407801062,1597407801099
email,Autofill,harry.potter@hogwarts.com,TEXT,1597407797987,1597407801062,1597407801101
phone,Autofill,,TEXT,1597407797987,1597407801062,1597407801105
city,Autofill,Surrey,TEXT,1597407797987,1597407801062,1597407801109
state,Autofill,,TEXT,1597407797987,1597407801062,1597407801115
profession student,True,student,SELECT,1597407804292,1597407808248,1597407808269
landmark School,True,School,TEXT,1597407809336,1597407812034,1597407812043
phone 52 1396 1394,True,5213961394,TEXT,1597407813446,1597407821284,1597407821290
state ratoath,True,ratoath,TEXT,1597407822505,1597407825761,1597407825769
state Watford,True,Watford,TEXT,1597407828202,1597407831664,1597407831682
gender male,True,male,RADIO,1597407832758,1597407835160,1597407835168
vehicle bike,True,bike,CHECKBOX,1597407836113,1597407838108,1597407838119
age 20,True,20,RANGE,1597407840460,1597407842883,1597407842892
this is a short description about Harry Potter,False,,,1597407846205,1597407850940,
description this is a short description about Harry Potter,True,this is a short description about Harry Potter,TEXTAREA,1597407852177,1597407857756,1597407857769
save,True,,,1597407859165,1597407861248,1597407861255
