command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597907035273,1597907038219,1597907038231
lastname,Autofill,Drew,TEXT,1597907035273,1597907038219,1597907038233
address,Autofill,"69, Seeawl Lane",TEXT,1597907035273,1597907038219,1597907038235
country,Autofill,USA,SELECT,1597907035273,1597907038219,1597907038236
pin,Autofill,07101,TEXT,1597907035273,1597907038219,1597907038238
email,Autofill,nancy.drew@sleuth.com,TEXT,1597907035273,1597907038219,1597907038239
phone,Autofill,1286659805,TEXT,1597907035273,1597907038219,1597907038243
city,Autofill,River Heights,TEXT,1597907035273,1597907038219,1597907038246
state,Autofill,,TEXT,1597907035273,1597907038219,1597907038248
profession detective,True,detective,SELECT,1597907040233,1597907043493,1597907043501
landmark police station,True,police station,TEXT,1597907044412,1597907047469,1597907047478
state Florida,True,Florida,TEXT,1597907048708,1597907051260,1597907051265
gender reveal,True,reveal,FORM,1597907052490,1597907055270,
gender female,True,female,RADIO,1597907056306,1597907059585,1597907059594
vehicle boat,True,boat,CHECKBOX,1597907060913,1597907063684,1597907063693
age 25,True,25,RANGE,1597907064507,1597907067486,1597907067493
description short description about Nancy Drew,True,short description about Nancy Drew,TEXTAREA,1597907068322,1597907072848,1597907072855
save,True,,,1597907073756,1597907075287,1597907075298
